Month,hcpi
202101,287.72
202102,159.8
202103,160.39
202104,161.02
202105,161.34
202106,161.8
202107,162.29
202108,162.93
202109,163.66
202110,164.52
202111,165.75
202112,167.34
202201,169.38
202202,169.97
202203,171.56
202204,174.46
202205,176.01
202206,178.32
202207,179.91
202208,179.87
202209,180.1
202210,181.28
202211,183.05
202212,183.73
