Month,hcpi
202101,134.11
202102,135.24
202103,135.99
202104,136.62
202105,137.62
202106,139.63
202107,140
202108,139.88
202109,140
202110,140.76
202111,141.76
202112,142.01
202201,144.01
202202,147.4
202203,150.53
202204,151.66
202205,152.41
202206,153.04
202207,155.42
202208,155.92
202209,156.67
202210,157.55
202211,158.93
202212,159.31
