Month,hcpi
202101,143.5
202102,144.48
202103,145.36
202104,145.96
202105,146.9
202106,147.83
202107,148.63
202108,149.82
202109,150.49
202110,151.45
202111,153.09
202112,154.2
202201,156.03
202202,157.46
202203,158.52
202204,160.03
202205,160.82
202206,161.85
202207,162.65
202208,162.99
202209,163.47
202210,163.93
202211,164.69
202212,166.27
