Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,0.035424,0.035424,0.035424,0.035606,0.035606,0
2021-01-04,0.035535,0.035572,0.035457,0.035424,0.035424,0
2021-01-05,0.035360,0.035610,0.035360,0.035478,0.035478,0
2021-01-06,0.035653,0.035706,0.035653,0.035594,0.035594,0
2021-01-07,0.035661,0.035671,0.035661,0.035706,0.035706,0
2021-01-08,0.035653,0.035680,0.035653,0.035671,0.035671,0
2021-01-11,0.035466,0.035816,0.035466,0.035605,0.035605,0
2021-01-12,0.035779,0.035994,0.035779,0.035816,0.035816,0
2021-01-13,0.036184,0.036184,0.036078,0.035994,0.035994,0
2021-01-14,0.036078,0.036078,0.035936,0.036078,0.036078,0
2021-01-15,0.035938,0.035938,0.035928,0.035936,0.035936,0
2021-01-18,0.035805,0.035811,0.035754,0.035806,0.035806,0
2021-01-19,0.035845,0.035864,0.035845,0.035754,0.035754,0
2021-01-20,0.035912,0.035912,0.035706,0.035864,0.035864,0
2021-01-21,0.035740,0.035740,0.035663,0.035706,0.035706,0
2021-01-22,0.035738,0.035798,0.035738,0.035663,0.035663,0
2021-01-25,0.035778,0.035837,0.035778,0.035798,0.035798,0
2021-01-26,0.035807,0.035855,0.035807,0.035837,0.035837,0
2021-01-27,0.035908,0.035908,0.035798,0.035855,0.035855,0
2021-01-28,0.035760,0.035826,0.035760,0.035798,0.035798,0
2021-01-29,0.035843,0.035921,0.035843,0.035826,0.035826,0
2021-02-01,0.035879,0.035973,0.035870,0.035908,0.035908,0
2021-02-02,0.035970,0.035994,0.035970,0.035973,0.035973,0
2021-02-03,0.036036,0.036043,0.036036,0.035994,0.035994,0
2021-02-04,0.036125,0.036226,0.036125,0.036043,0.036043,0
2021-02-05,0.036150,0.036350,0.036150,0.036226,0.036226,0
2021-02-08,0.036526,0.036526,0.036496,0.036350,0.036350,0
2021-02-09,0.036594,0.036594,0.036415,0.036496,0.036496,0
2021-02-10,0.036457,0.036457,0.036315,0.036415,0.036415,0
2021-02-11,0.036313,0.036313,0.036286,0.036315,0.036315,0
2021-02-12,0.036281,0.036281,0.036202,0.036286,0.036286,0
2021-02-15,0.036269,0.036269,0.036210,0.036202,0.036202,0
2021-02-16,0.036260,0.036260,0.036224,0.036210,0.036210,0
2021-02-17,0.036010,0.036186,0.036010,0.036224,0.036224,0
2021-02-18,0.036135,0.036237,0.036135,0.036186,0.036186,0
2021-02-19,0.036297,0.036297,0.036227,0.036237,0.036237,0
2021-02-22,0.036193,0.036193,0.036153,0.036169,0.036169,0
2021-02-23,0.036270,0.036270,0.036122,0.036153,0.036153,0
2021-02-24,0.036133,0.036140,0.036101,0.036122,0.036122,0
2021-02-25,0.036180,0.036180,0.036180,0.036101,0.036101,0
2021-02-26,0.036100,0.036100,0.036100,0.036180,0.036180,0
2021-03-01,0.036021,0.036033,0.036017,0.036100,0.036100,0
2021-03-02,0.035980,0.036121,0.035980,0.036017,0.036017,0
2021-03-03,0.036312,0.036312,0.036267,0.036121,0.036121,0
2021-03-04,0.036266,0.036397,0.036266,0.036267,0.036267,0
2021-03-05,0.036165,0.036366,0.036165,0.036397,0.036397,0
2021-03-08,0.036337,0.036337,0.036329,0.036366,0.036366,0
2021-03-09,0.036255,0.036425,0.036255,0.036329,0.036329,0
2021-03-10,0.036370,0.036375,0.036370,0.036425,0.036425,0
2021-03-11,0.036593,0.036593,0.036354,0.036375,0.036375,0
2021-03-12,0.036415,0.036415,0.036415,0.036354,0.036354,0
2021-03-15,0.036445,0.036544,0.036409,0.036510,0.036510,0
2021-03-16,0.036545,0.036545,0.036443,0.036544,0.036544,0
2021-03-17,0.036463,0.036463,0.036463,0.036443,0.036443,0
2021-03-18,0.036471,0.036471,0.036471,0.036463,0.036463,0
2021-03-19,0.036361,0.036406,0.036361,0.036471,0.036471,0
2021-03-22,0.036346,0.036450,0.036346,0.036355,0.036355,0
2021-03-23,0.036457,0.036457,0.036318,0.036450,0.036450,0
2021-03-24,0.036208,0.036208,0.036191,0.036318,0.036318,0
2021-03-25,0.036131,0.036131,0.036116,0.036191,0.036191,0
2021-03-26,0.036045,0.036089,0.036045,0.036116,0.036116,0
2021-03-29,0.036102,0.036102,0.036035,0.036089,0.036089,0
2021-03-30,0.036051,0.036192,0.036051,0.036035,0.036035,0
2021-03-31,0.036159,0.036257,0.036159,0.036192,0.036192,0
