Month,hcpi
202101,109.2
202102,109.7
202103,110.3
202104,110.9
202105,111.4
202106,111.7
202107,112.4
202108,112.7
202109,112.9
202110,113.7
202111,113.9
202112,113.8
202201,114.8
202202,116
202203,117.6
202204,118.4
202205,120
202206,120.8
202207,121
202208,120.6
202209,120.6
202210,121.5
202211,121.7
202212,120.96
