Month,hcpi
202101,106.3
202102,107
202103,107.5
202104,108.2
202105,108.7
202106,109.1
202107,110.1
202108,110.1
202109,110.1
202110,110.7
202111,110.5
202112,111.1
202201,111.5
202202,112.5
202203,115.3
202204,116.2
202205,117.3
202206,117.4
202207,118.4
202208,118.8
202209,121.1
202210,122.2
202211,121.6
202212,120.62
