Month,hcpi
202101,109.3
202102,109.4
202103,109.7
202104,110.4
202105,111
202106,111.4
202107,111.4
202108,112.1
202109,112.4
202110,113.4
202111,114.1
202112,114.7
202201,114.6
202202,115.4
202203,116.5
202204,119
202205,119.7
202206,120.5
202207,121.2
202208,121.8
202209,122.3
202210,124.3
202211,124.8
202212,125.3
